,Ridge (Baseline),Random Forest,LightGBM,CatBoost
num_atoms,-0.11901799317814238,0.002087135360382617,208,0.8436721470432741
a,0.010881902302638326,0.01692657937207645,2448,4.757368033534505
b,-0.07439666274116545,0.010924475989021033,1792,2.4801501066355485
c,-0.12331904617974378,0.002350351706469105,1368,0.6644574339989725
alpha,-0.0006799963247030536,0.0012190228944090086,1967,0.24935882013328675
beta,-0.0010120093440294997,0.0014863555575251493,1762,0.14952824137868903
gamma,-0.0017043530052610527,0.001370832499195561,1691,0.39517521476418904
volume,0.05493355405744808,0.012067333671752436,2271,2.885149038962025
volume_per_atom,0.08032831370933138,0.08493469130970656,2719,11.23051049187178
b_over_a,-0.00021898495481221034,0.00609250603324082,1188,1.7404502607148
c_over_a,0.04040150668132154,0.0019111837986050307,1085,0.5165299800289512
angle_deviation,0.016288685518188364,0.0019566959608842923,2047,0.5947126826435294
mean_bond_length,0.2401135925803879,0.04702905473245393,2488,6.607788711507543
std_bond_length,0.09211142277762052,0.6488589896706891,2304,40.76714920638603
min_bond_length,0.08764454043967422,0.02027325839396237,2421,4.094740951401989
max_bond_length,-0.06350198362426843,0.01780684475521562,1992,2.34771211992068
std_coordination,-0.12380908050665929,0.0013045339639447815,397,1.915839280622417
min_coordination,-0.03324963970726732,2.57470649253596e-05,0,0.44861064425450137
max_coordination,-0.08083381043848244,9.29015878133113e-05,2,0.2843829231674031
kmeans_cluster,-0.0233470978714734,7.185845989899576e-05,2,0.6609913268299474
gmm_cluster,-0.004031414585158484,0.0007263035736719467,125,0.7467172447072595
hdbscan_probability,-0.0001433184357088008,0.001226770344474293,1112,0.30788200017780337
pca1,0.25727145245791455,0.0034890388603119517,1473,1.453755689002729
pca2,-0.07997701761990753,0.0061660631847040145,1382,2.321522667590765
crystal_system_enc,0.022393320690790624,0.015382766371234079,255,5.039921211422001
space_group_symbol_enc,-0.007022764411346071,0.008697557744726594,1044,3.3886010734165617
scientific_label_enc,-0.07145274021911947,0.08552114713870572,125,3.10732249788277
