formula,elements,num_atoms,a,b,c,alpha,beta,gamma,volume,volume_per_atom,density,b_over_a,c_over_a,angle_deviation,space_group_number,space_group_symbol,crystal_system,mean_bond_length,std_bond_length,min_bond_length,max_bond_length,mean_coordination,std_coordination,min_coordination,max_coordination,row_index,split,source_file,material_id,energy,relative_energy,cluster_hierarchical,PC1,PC2
C,C,6,2.4805299999999995,5.090559999999999,4.89497,57.97520999999999,59.51109000000001,43.045589999999976,34.99453899562845,5.832423165938075,3.4195455349594215,2.0522065848830695,1.9733565004253129,109.46811000000002,12,C2/m,monoclinic,1.5269332906901918,0.0236537191158883,1.491933984756742,1.5694262546381783,4.0,0.0,4.0,4.0,0,train,huggingface,C-130499-1826-36,-154.3118905,0.2450944999999933,2,2.5270540306784017,-1.2977232211628478
C,C,10,2.48986,4.656789999999999,5.94592,90.0329,77.93642,57.67567999999999,56.44264566809494,5.644264566809494,3.533540350386378,1.8703019446876523,2.3880539468082542,44.42080000000001,12,C2/m,monoclinic,1.5293979678987708,0.0423820530265457,1.4339224063462614,1.5927355122619855,4.0,0.0,4.0,4.0,1,train,huggingface,C-13904-4247-31,-154.332183,0.224802000000011,2,2.5194570913319816,0.3561132582732689
C,C,10,2.44168,4.798490000000001,5.95909,119.73601999999998,101.56104,75.51457,58.45546220724035,5.845546220724035,3.411868770170656,1.9652411454408445,2.4405696078110153,55.78248999999998,8,Cm,monoclinic,1.5129329292733589,0.027125576932457,1.4624084538635709,1.5528646887458266,3.8,0.3999999999999999,3.0,4.0,2,train,huggingface,C-92138-4782-35,-154.178157,0.3788279999999986,0,1.06295477556418,0.9048821582120747
C,C,20,2.47518,4.18933,11.18377,100.54005,77.38712,89.87842,111.15331675658972,5.557665837829487,3.588599454706788,1.692535492368232,4.518366341033784,23.274510000000006,1,P1,triclinic,1.5311028545974277,0.0377652270565794,1.4580987846247146,1.6246735827648604,4.0,0.0,4.0,4.0,3,train,huggingface,C-192672-505-73,-154.309339,0.2476460000000031,0,2.2997203127527452,3.653800090005912
C,C,6,3.395,4.81978,3.65211,112.26885,128.35152,77.7436,43.34806181933401,7.224676969889003,2.7605713969221046,1.4196701030927834,1.0757319587628866,72.87677,12,C2/m,monoclinic,1.4119084332422622,0.0217357133940929,1.3663403522292576,1.434403331888772,3.0,0.0,3.0,3.0,4,train,huggingface,C-193956-5355-22,-154.14183549999998,0.4151495000000125,1,-3.5175904369466595,-2.61421291688546
C,C,14,4.1784,4.67784,4.67703,77.42149,89.78550000000001,90.21686,89.22094520477035,6.372924657483596,3.129526499525979,1.119529006318208,1.1193351522113728,13.009869999999978,12,C2/m,monoclinic,1.4905784811953262,0.0721262605594997,1.3048921419397317,1.6316669765726992,3.5714285714285716,0.4948716593053935,3.0,4.0,5,train,huggingface,C-176661-8591-28,-154.19794285714286,0.3590421428571346,0,-0.5399506105937716,1.9184796072190726
C,C,12,2.4324600000000003,7.199860000000001,6.61497,48.50970999999999,89.98176000000001,90.01706000000001,86.77982368603591,7.231651973836326,2.757908796943557,2.959908898810258,2.719456846155743,41.525590000000015,12,C2/m,monoclinic,1.4020637783668326,0.0024725359229128,1.3976056560166483,1.4042904293664586,3.0,0.0,3.0,3.0,6,train,huggingface,C-177252-751-44,-154.45401,0.1029749999999865,1,-3.823927699297755,0.8504629039932529
C,C,12,2.50566,4.7904,5.85223,80.64259,84.75947000000001,78.56324,67.80708352712983,5.650590293927486,3.5295846199486256,1.9118316132276525,2.3356041921090647,26.0347,2,P-1,triclinic,1.5213928036363809,0.0586877457531343,1.3122511901266702,1.6082711893342383,3.8333333333333335,0.3726779962499649,3.0,4.0,7,train,huggingface,C-170900-9651-22,-154.24175416666665,0.3152308333333451,0,0.9831920456549782,2.4109088134061554
C,C,6,2.51187,4.11132,4.19172,119.40794,107.68747,89.97151999999998,35.34653643884479,5.891089406474131,3.38549209135399,1.6367566792867465,1.6687647051798062,47.12389000000003,71,Immm,orthorhombic,1.5017801821478278,0.0627074746861826,1.359059130843862,1.5705869787034663,3.6666666666666665,0.4714045207910317,3.0,4.0,8,train,huggingface,C-130544-211-29,-154.230684,0.3263010000000008,0,0.7366732545310272,0.05196349993856186
C,C,6,2.42598,4.21658,4.21834,89.81438,90.09485,90.02212,43.15054011666267,7.191756686110445,2.77320791922731,1.7380934715042995,1.738818951516501,0.3025900000000092,63,Cmcm,orthorhombic,1.4495488329016517,0.0534464337173456,1.3839663818541406,1.5014041638156783,3.3333333333333335,0.4714045207910317,3.0,4.0,9,train,huggingface,C-136247-3248-26,-154.31424083333334,0.2427441666666538,0,-1.6230290516239991,-0.17920982472964098
C,C,8,2.48323,5.01052,4.05185,113.84982,101.04279,85.59381,45.255524911745646,5.656940613968206,3.525622409015718,2.0177430201793634,1.6316853452962474,39.298799999999986,15,C2/c,monoclinic,1.536303727140537,0.0277235306536113,1.5067742559563704,1.5825943917750391,4.0,0.0,4.0,4.0,10,train,huggingface,C-76016-983-23,-154.0695325,0.4874524999999892,2,2.9685825485753425,-0.8721840470251967
C,C,8,2.49384,6.33553,4.21185,49.57982000000001,106.80392999999998,92.38066,47.51722070237221,5.939652587796526,3.3578119764200367,2.540471722323806,1.688901453180637,59.604769999999974,1,P1,triclinic,1.4904444194036115,0.0697746100980515,1.386752060345076,1.6299348441250503,3.5,0.5,3.0,4.0,11,train,huggingface,C-170888-2365-32,-154.112675,0.4443100000000015,0,0.5181243456256758,1.8240896047185617
C,C,6,2.48146,3.68878,4.83759,111.45597,104.85401,109.66536999999998,34.98263957130409,5.830439928550682,3.4207087011417223,1.4865361521040032,1.9494934433760769,55.97534999999998,12,C2/m,monoclinic,1.5270178572304054,0.024315964401115,1.4917218739658549,1.5740161753579918,4.0,0.0,4.0,4.0,12,train,huggingface,C-141037-8469-46,-154.30918283333332,0.2478021666666734,2,2.5419211791817964,-1.691666365009831
C,C,6,3.1169299999999995,3.6486,4.81011,112.15257,80.92832,119.47547,44.08059748346626,7.3467662472443775,2.7146959524618217,1.1705748926026571,1.5432204123929638,60.69972000000001,12,C2/m,monoclinic,1.410319148971824,0.0233739293390802,1.363728135518201,1.4344902407813938,3.0,0.0,3.0,3.0,13,train,huggingface,C-157689-1881-41,-154.12132333333332,0.4356616666666753,1,-3.66836371824265,-2.5572861109904124
C,C,6,2.4279699999999997,3.73386,4.81223,96.60006,103.00715,87.8012,42.22164306305402,7.036940510509003,2.8342198666157,1.5378526093815,1.9819973063917593,21.806010000000015,12,C2/m,monoclinic,1.4012174957525834,0.0026944131552892,1.3978490017079808,1.4044722821269584,3.0,0.0,3.0,3.0,14,train,huggingface,C-72730-1850-7,-154.42057016666666,0.1364148333333332,1,-3.302673830427821,-2.46812281537934
C,C,10,3.67304,4.8344,4.87821,112.53999,98.61853,112.08562,69.6237254161054,6.96237254161054,2.8645747517647093,1.3161849585084833,1.3281124082503868,53.244140000000016,2,P-1,triclinic,1.4647587804148514,0.0590752244791888,1.344506903644708,1.5572173370468063,3.4,0.4898979485566356,3.0,4.0,15,train,huggingface,C-41262-9862-31,-154.147016,0.4099689999999896,0,-1.623069554848404,0.7991070227517856
C,C,8,2.47199,4.15251,5.79723,69.3463,64.87265,90.01300000000002,49.61759871917115,6.2021998398963945,3.2156713923959277,1.67982475657264,2.3451672539128396,45.79405000000003,10,P2/m,monoclinic,1.4887527928444726,0.0887394813681029,1.3259755936178854,1.619345288875042,3.5,0.5,3.0,4.0,16,train,huggingface,C-76050-9799-65,-154.17215625,0.3848287499999969,0,-0.1225119799889372,1.7997856869832276
C,C,14,2.44414,6.0603,7.21977,99.10146,99.736,66.12052000000001,95.8993690081404,6.849954929152886,2.911586543467066,2.479522449614179,2.953910168811934,42.716939999999994,12,C2/m,monoclinic,1.4801892442564817,0.0603255712142326,1.3892521262120274,1.6172657566160982,3.5714285714285716,0.4948716593053935,3.0,4.0,17,train,huggingface,C-130538-6665-48,-154.27591214285715,0.2810728571428456,0,-0.9076439583414856,3.7875928131369774
C,C,12,2.4298,5.360769999999999,7.45187,84.83628,70.92882,89.9215,91.32464801214503,7.610387334345419,2.620659858542256,2.206259774467034,3.066865585644909,24.3134,6,Pm,monoclinic,1.4530255331423774,0.0616581208285747,1.3880346172087783,1.5958136475341942,3.3333333333333335,0.4714045207910317,3.0,4.0,18,train,huggingface,C-47644-8979-61,-154.07433333333333,0.4826516666666691,0,-2.200144697567413,3.161154156950632
C,C,6,2.49028,3.5935500000000005,4.35454,84.29282,73.40105,69.70179,35.025524464183256,5.83758741069721,3.4165204204960093,1.4430305025940862,1.7486146136177458,42.60433999999999,69,Fmmm,orthorhombic,1.5284429447225465,0.0186970579429782,1.51246260617606,1.5687804245698656,4.0,0.0,4.0,4.0,19,train,huggingface,C-41262-9862-12,-154.19843133333333,0.3585536666666655,2,2.8073904756399317,-2.2275722083710323
C,C,6,2.51161,4.11307,4.19018,119.39622,107.61574000000002,89.99932,35.36490942104367,5.894151570173945,3.383733240930019,1.6376228793483063,1.6683243019417822,47.012640000000005,71,Immm,orthorhombic,1.5020276082404598,0.0627462412383899,1.3580849454462525,1.567915211725658,3.6666666666666665,0.4714045207910317,3.0,4.0,20,train,huggingface,C-130532-5775-40,-154.2306565,0.3263284999999882,0,0.7219641439060369,0.04867980038268793
C,C,6,3.63337,3.27351,3.27022,80.81783,75.45314,75.453,36.2479864841857,6.041331080697617,3.3012983941238327,0.9009569628196412,0.9000514673705128,38.27602999999999,12,C2/m,monoclinic,1.5008627515285264,0.0596759646575078,1.3446756264458717,1.5695733785101953,3.6666666666666665,0.4714045207910317,3.0,4.0,21,train,huggingface,C-176689-6597-36,-154.202455,0.3545300000000111,0,0.34198181027499086,-0.9536800608492508
C,C,8,2.45451,4.38792,5.17379,52.14460999999999,89.57145999999999,90.36451,43.991085431378146,5.498885678922268,3.6269596713977017,1.7876969334001491,2.1078708173932883,38.648440000000015,2,P-1,triclinic,1.5410816211771428,0.0393445844376524,1.4597285578859522,1.5955185726425116,4.0,0.0,4.0,4.0,22,train,huggingface,C-113078-2193-52,-154.08797875,0.4690062500000067,2,2.995648183118767,-0.41023790884668127
