formula,elements,num_atoms,a,b,c,alpha,beta,gamma,angle_deviation,angle_std,space_group_number,space_group_symbol,crystal_system,symprec_used,min_bond_length,max_bond_length,bond_length_range,min_coordination,max_coordination,fraction_sp,fraction_other,row_index,split,source_file,material_id,relative_energy,volume_ratio,lattice_asymmetry,bond_complexity,hybridization_diversity
C,C,6,2.4805299999999995,5.090559999999999,4.89497,57.97520999999999,59.51109000000001,43.045589999999976,109.46811000000002,7.426418091058446,12,C2/m,monoclinic,0.01,1.491933984756742,1.5694262546381783,0.0774922698814364,4.0,4.0,0.0,0.0,0,train,huggingface,C-130499-1826-36,0.2443848333333278,5.832423165938075,2.0255630853083817,0.0154909970583243,-1.0000000826903709e-10
C,C,10,2.48986,4.656789999999999,5.94592,90.0329,77.93642,57.67567999999999,44.42080000000001,13.349207633024516,12,C2/m,monoclinic,0.01,1.4339224063462614,1.5927355122619855,0.158813105915724,4.0,4.0,0.0,0.0,1,train,huggingface,C-13904-4247-31,0.2240923333333455,5.644264566809494,2.2583558914959063,0.0277115923476758,-1.0000000826903709e-10
C,C,10,2.44168,4.798490000000001,5.95909,119.73601999999998,101.56104,75.51457,55.78248999999998,18.14841632994092,1,P1,triclinic,0.01,1.4624084538635709,1.5528646887458266,0.0904562348822557,3.0,4.0,0.0,0.0,2,train,huggingface,C-92138-4782-35,0.3781183333333331,5.845546220724035,2.40581075325186,0.0179291338074663,0.5004024233381879
C,C,20,2.47518,4.18933,11.18377,100.54005,77.38712,89.87842,23.274510000000006,9.461977110354198,1,P1,triclinic,0.01,1.4580987846247146,1.6246735827648586,0.1665747981401439,4.0,4.0,0.0,0.0,3,train,huggingface,C-192672-505-73,0.2469363333333376,5.557665837829486,4.210901833402016,0.0246653756413003,-1.0000000826903709e-10
C,C,6,3.395,4.81978,3.65211,112.26885,128.35152,77.7436,72.87677,21.11294160413833,2,P-1,triclinic,0.01,1.3663403522292576,1.434403331888772,0.0680629796595142,3.0,3.0,0.0,0.0,4,train,huggingface,C-193956-5355-22,0.414439833333347,7.224676969889002,0.49540206185567,0.0153945630472935,-1.0000000826903709e-10
C,C,14,4.1784,4.67784,4.67703,77.42149,89.78550000000001,90.21686,13.009869999999978,5.93273693787839,8,Cm,monoclinic,0.01,1.3048921419397317,1.6316669765726992,0.3267748346329677,3.0,4.0,0.0,0.0,5,train,huggingface,C-176661-8591-28,0.3583324761904691,6.372924657483596,0.2388641585295807,0.0483880999656061,0.6829081045004717
C,C,12,2.4324600000000003,7.199860000000001,6.61497,48.50970999999999,89.98176000000001,90.01706000000001,41.525590000000015,19.558437455524587,12,C2/m,monoclinic,0.01,1.3976056560166483,1.4042904293664586,0.0066847733498103,3.0,3.0,0.0,0.0,6,train,huggingface,C-177252-751-44,0.102265333333321,7.231651973836326,3.679365744966001,0.0017634974677231,-1.0000000826903709e-10
C,C,12,2.50566,4.7904,5.85223,80.64259,84.75947000000001,78.56324,26.0347,2.57478507344249,1,P1,triclinic,0.01,1.3122511901266702,1.6082711893342383,0.2960199992075683,3.0,4.0,0.0,0.0,7,train,huggingface,C-170900-9651-22,0.3145211666666796,5.650590293927486,2.247435805336717,0.0385750120606613,0.4505612086663046
C,C,6,2.51187,4.11132,4.19172,119.40794,107.68747,89.97151999999998,47.12389000000003,12.100170448018044,8,Cm,monoclinic,0.01,1.359059130843862,1.5705869787034663,0.2115278478596043,3.0,4.0,0.0,0.0,8,train,huggingface,C-130544-211-29,0.3255913333333353,5.891089406474131,1.3055213844665527,0.0417554282760101,0.6365141680948128
C,C,6,2.42598,4.21658,4.21834,89.81438,90.09485,90.02212,0.3025900000000092,0.1188411551423,40,Ama2,orthorhombic,0.01,1.3839663818541406,1.5014041638156783,0.1174377819615377,3.0,4.0,0.0,0.0,9,train,huggingface,C-136247-3248-26,0.2420344999999883,7.191756686110445,1.4769124230208004,0.0368710818846105,0.6365141680948128
