feature,importance
num_atoms,0.9999908832340542
bond_length_range,3.363417357179089e-06
bond_complexity,2.9973046602394232e-06
volume_ratio,1.4469581049096113e-06
min_bond_length,4.584642978830525e-07
a,4.461512275775484e-07
max_bond_length,1.2847622413386507e-07
b,7.126738063355312e-08
lattice_asymmetry,5.356079901854714e-08
max_coordination,3.9081660807574906e-08
c,2.9737599527063637e-08
angle_deviation,1.9877404736530114e-08
gamma,1.3978600183300634e-08
alpha,1.3015077556165523e-08
angle_std,1.2083987153960924e-08
beta,1.1771475519751289e-08
hybridization_diversity,7.387581330392203e-09
min_coordination,4.201402124822782e-09
fraction_sp,1.8025100501166483e-11
fraction_other,1.3079960805599654e-11
symprec_used,0.0
