iter	Passed	Remaining
0	147	147272
1	161	80492
2	171	57154
3	180	44965
4	191	38117
5	199	33106
6	207	29379
7	214	26640
8	222	24496
9	231	22922
10	239	21542
11	247	20374
12	258	19595
13	267	18827
14	274	18049
15	282	17352
16	290	16796
17	297	16254
18	305	15781
19	313	15372
20	324	15136
21	332	14803
22	341	14516
23	352	14323
24	360	14052
25	368	13820
26	379	13688
27	389	13518
28	397	13299
29	407	13173
30	416	13003
31	424	12855
32	433	12705
33	441	12547
34	449	12405
35	457	12251
36	465	12116
37	473	11998
38	482	11880
39	489	11759
40	498	11662
41	506	11552
42	514	11459
43	522	11362
44	530	11267
45	539	11182
46	547	11104
47	557	11053
48	565	10978
49	573	10892
50	581	10823
51	589	10748
52	605	10819
53	614	10761
54	622	10689
55	630	10624
56	639	10573
57	647	10509
58	654	10442
59	662	10380
60	670	10320
61	679	10277
62	687	10221
63	695	10172
64	703	10122
65	711	10069
66	720	10035
67	728	9985
68	736	9936
69	744	9888
70	751	9839
71	761	9808
72	769	9770
73	777	9731
74	785	9687
75	793	9649
76	802	9618
77	810	9586
78	818	9542
79	826	9507
80	834	9471
81	843	9445
82	853	9425
83	861	9394
84	869	9363
85	877	9329
86	886	9301
87	893	9263
88	901	9227
89	909	9193
90	917	9163
91	926	9140
92	934	9110
93	942	9081
94	950	9057
95	958	9027
96	967	9008
97	975	8975
98	982	8946
99	991	8923
100	999	8900
101	1008	8875
102	1015	8847
103	1024	8823
104	1032	8797
105	1039	8765
106	1048	8747
107	1055	8721
108	1070	8751
109	1079	8730
110	1089	8728
111	1098	8710
112	1106	8685
113	1114	8665
114	1122	8641
115	1132	8632
116	1140	8610
117	1148	8586
118	1156	8563
119	1165	8544
120	1173	8525
121	1180	8498
122	1188	8474
123	1196	8449
124	1203	8427
125	1212	8410
126	1219	8383
127	1227	8364
128	1235	8342
129	1244	8326
130	1253	8313
131	1260	8289
132	1268	8269
133	1277	8254
134	1285	8234
135	1294	8223
136	1302	8202
137	1309	8182
138	1318	8165
139	1326	8149
140	1335	8137
141	1343	8118
142	1351	8098
143	1358	8077
144	1367	8061
145	1376	8050
146	1384	8031
147	1392	8013
148	1400	8000
149	1408	7984
150	1417	7971
151	1426	7956
152	1434	7938
153	1442	7922
154	1449	7903
155	1458	7889
156	1466	7876
157	1474	7858
158	1483	7844
159	1491	7828
160	1499	7814
161	1507	7797
162	1514	7778
163	1523	7764
164	1530	7746
165	1540	7737
166	1547	7719
167	1555	7703
168	1563	7688
169	1571	7672
170	1580	7662
171	1588	7645
172	1595	7627
173	1603	7612
174	1611	7596
175	1620	7584
176	1627	7568
177	1636	7555
178	1643	7539
179	1651	7525
180	1660	7512
181	1667	7495
182	1674	7476
183	1682	7461
184	1689	7444
185	1697	7428
186	1705	7414
187	1713	7401
188	1721	7388
189	1729	7373
190	1737	7360
191	1746	7347
192	1754	7334
193	1761	7319
194	1769	7305
195	1777	7290
196	1785	7279
197	1793	7265
198	1800	7249
199	1808	7234
200	1815	7216
201	1822	7200
202	1830	7186
203	1838	7171
204	1845	7157
205	1853	7143
206	1861	7129
207	1869	7117
208	1876	7102
209	1885	7091
210	1893	7078
211	1900	7064
212	1909	7055
213	1917	7044
214	1925	7030
215	1933	7019
216	1941	7004
217	1950	6997
218	1958	6984
219	1966	6973
220	1975	6962
221	1983	6950
222	1992	6940
223	2000	6928
224	2007	6916
225	2016	6904
226	2023	6892
227	2032	6881
228	2039	6867
229	2047	6856
230	2056	6846
231	2064	6833
232	2073	6825
233	2081	6813
234	2089	6801
235	2098	6793
236	2106	6781
237	2115	6771
238	2122	6758
239	2130	6747
240	2138	6735
241	2146	6723
242	2155	6715
243	2164	6706
244	2172	6694
245	2180	6682
246	2188	6671
247	2196	6660
248	2203	6647
249	2211	6635
250	2219	6623
251	2227	6611
252	2236	6602
253	2243	6590
254	2251	6579
255	2259	6567
256	2267	6554
257	2290	6588
258	2298	6576
259	2305	6563
260	2314	6553
261	2323	6543
262	2332	6535
263	2340	6525
264	2349	6515
265	2357	6505
266	2365	6493
267	2372	6481
268	2381	6470
269	2389	6460
270	2399	6453
271	2407	6442
272	2414	6430
273	2422	6418
274	2430	6407
275	2439	6399
276	2447	6389
277	2455	6377
278	2464	6369
279	2472	6357
280	2481	6348
281	2489	6338
282	2497	6328
283	2522	6359
284	2539	6369
285	2554	6376
286	2575	6397
287	2586	6395
288	2596	6387
289	2605	6378
290	2613	6366
291	2620	6354
292	2629	6344
293	2637	6334
294	2648	6329
295	2657	6320
296	2673	6327
297	2683	6321
298	2693	6315
299	2703	6307
300	2712	6298
301	2721	6290
302	2731	6283
303	2739	6272
304	2748	6264
305	2757	6254
306	2768	6248
307	2777	6239
308	2786	6231
309	2796	6224
310	2806	6218
311	2815	6209
312	2825	6202
313	2834	6193
314	2844	6185
315	2854	6178
316	2861	6165
317	2869	6153
318	2876	6141
319	2885	6131
320	2893	6119
321	2900	6107
322	2908	6095
323	2916	6084
324	2923	6072
325	2932	6063
326	2940	6051
327	2949	6041
328	2956	6030
329	2965	6020
330	2973	6010
331	2982	6001
332	2990	5990
333	2998	5978
334	3006	5967
335	3014	5957
336	3021	5944
337	3029	5933
338	3036	5921
339	3045	5911
340	3053	5901
341	3061	5890
342	3070	5881
343	3078	5870
344	3086	5859
345	3095	5850
346	3103	5839
347	3110	5827
348	3118	5817
349	3126	5806
350	3135	5797
351	3142	5785
352	3151	5776
353	3159	5765
354	3166	5753
355	3175	5744
356	3183	5734
357	3192	5724
358	3200	5714
359	3208	5704
360	3217	5695
361	3225	5685
362	3233	5674
363	3242	5665
364	3249	5653
365	3258	5644
366	3266	5633
367	3274	5624
368	3283	5614
369	3291	5604
370	3300	5595
371	3308	5585
372	3315	5573
373	3323	5563
374	3331	5552
375	3340	5544
376	3349	5534
377	3357	5524
378	3365	5514
379	3373	5503
380	3381	5494
381	3390	5484
382	3397	5473
383	3405	5462
384	3413	5452
385	3422	5444
386	3431	5434
387	3439	5424
388	3447	5414
389	3455	5405
390	3464	5396
391	3473	5387
392	3481	5377
393	3489	5367
394	3497	5356
395	3506	5347
396	3513	5337
397	3522	5327
398	3530	5317
399	3537	5306
400	3547	5298
401	3554	5287
402	3562	5278
403	3570	5267
404	3578	5257
405	3587	5248
406	3595	5238
407	3602	5227
408	3610	5217
409	3618	5207
410	3627	5198
411	3635	5187
412	3643	5177
413	3651	5167
414	3658	5157
415	3668	5150
416	3676	5140
