row_index,material_id,split,source_file,formula,elements,space_group_number,space_group_symbol,crystal_system,energy,energy_per_atom,relative_energy,hdbscan_cluster,hdbscan_probability,hdbscan_is_noise,pca1,pca2
3,C-192672-505-73,train,huggingface,C,C,1,P1,triclinic,-154.309339,-154.309339,0.2476460000000031,-1,0.0,True,3.5776571944151336,1.7010843704304037
5,C-176661-8591-28,train,huggingface,C,C,12,C2/m,monoclinic,-154.19794285714286,-154.19794285714286,0.3590421428571346,-1,0.0,True,1.8061158751779434,-0.3704123855972935
11,C-170888-2365-32,train,huggingface,C,C,1,P1,triclinic,-154.112675,-154.112675,0.4443100000000015,-1,0.0,True,1.7116075720005064,0.6608725137019855
24,C-142789-7601-3,train,huggingface,C,C,74,Imma,orthorhombic,-154.125035,-154.125035,0.4319500000000005,-1,0.0,True,1.0251115257297627,1.3238951026324377
83,C-141043-2496-23,train,huggingface,C,C,12,C2/m,monoclinic,-154.217487,-154.217487,0.3394979999999918,-1,0.0,True,0.520411545880613,0.09996377677433942
87,C-172941-6659-36,train,huggingface,C,C,63,Cmcm,orthorhombic,-154.29656316666666,-154.29656316666666,0.2604218333333392,-1,0.0,True,0.5352057487001044,-1.2475120102960529
124,C-136387-2750-21,train,huggingface,C,C,8,Cm,monoclinic,-154.211338,-154.211338,0.3456469999999854,-1,0.0,True,4.357517669351016,1.1558598491712624
138,C-134216-4713-46,train,huggingface,C,C,65,Cmmm,orthorhombic,-154.1549425,-154.1549425,0.4020424999999932,-1,0.0,True,3.4232165280202764,0.2482610910124347
148,C-137379-9907-58,train,huggingface,C,C,1,P1,triclinic,-154.31875636363637,-154.31875636363637,0.2382286363636296,-1,0.0,True,2.9332843860692397,1.551658771175645
153,C-130532-5775-1,train,huggingface,C,C,229,Im-3m,cubic,-154.08246116666666,-154.08246116666666,0.4745238333333361,-1,0.0,True,-3.571901119664782,1.4360470780855819
156,C-80182-7828-11,train,huggingface,C,C,12,C2/m,monoclinic,-154.21592125,-154.21592125,0.3410637499999893,-1,0.0,True,0.23890387986343292,-0.07951170766846048
161,C-130534-5496-26,train,huggingface,C,C,1,P1,triclinic,-154.25025,-154.25025,0.3067350000000033,-1,0.0,True,4.214765535586759,-1.2686526551449713
166,C-72716-3406-49,train,huggingface,C,C,63,Cmcm,orthorhombic,-154.31521633333332,-154.31521633333332,0.2417686666666725,-1,0.0,True,0.7498238117120797,-1.1726359183558779
196,C-149237-396-17,train,huggingface,C,C,1,P1,triclinic,-154.190153,-154.190153,0.366831999999988,-1,0.0,True,5.815174324970931,0.3001452169835866
211,C-101121-514-62,train,huggingface,C,C,8,Cm,monoclinic,-154.22158875,-154.22158875,0.3353962500000023,-1,0.0,True,6.795588144150414,-0.138237888515431
214,C-137399-7235-5,train,huggingface,C,C,6,Pm,monoclinic,-154.1761827777778,-154.1761827777778,0.3808022222222007,-1,0.0,True,4.689633570248595,2.7220681936635662
351,C-142785-5183-57,train,huggingface,C,C,12,C2/m,monoclinic,-154.20223375,-154.20223375,0.3547512499999925,-1,0.0,True,0.2350665219719531,-0.7962343642874364
356,C-194844-3110-45,train,huggingface,C,C,6,Pm,monoclinic,-154.08876222222224,-154.08876222222224,0.4682227777777541,-1,0.0,True,6.26069754452732,-0.8060372873391658
373,C-90863-258-34,train,huggingface,C,C,12,C2/m,monoclinic,-154.45393583333333,-154.45393583333333,0.1030491666666648,-1,0.0,True,1.3630021228925264,-3.9177877521702764
396,C-90858-8157-22,train,huggingface,C,C,12,C2/m,monoclinic,-154.18953,-154.18953,0.3674550000000067,-1,0.0,True,0.36520577853282565,-0.7315681577987494
414,C-126136-4977-13,train,huggingface,C,C,2,P-1,triclinic,-154.144283,-154.144283,0.4127019999999959,-1,0.0,True,0.06965081889428347,-1.3022806384116028
417,C-136208-4716-15,train,huggingface,C,C,164,P-3m1,trigonal,-154.53383100000002,-154.53383100000002,0.0231539999999768,-1,0.0,True,-0.45635596230330666,1.8159817637693936
437,C-130501-2246-15,train,huggingface,C,C,12,C2/m,monoclinic,-154.08052142857144,-154.08052142857144,0.4764635714285532,-1,0.0,True,1.5172466099325543,0.800776080065515
444,C-57162-5454-12,train,huggingface,C,C,20,C222_1,orthorhombic,-154.324081875,-154.324081875,0.2329031250000071,-1,0.0,True,0.948722629612507,1.8516630797071199
456,C-193926-6320-40,train,huggingface,C,C,1,P1,triclinic,-154.186352,-154.186352,0.370632999999998,-1,0.0,True,2.4594552527534255,-6.014564150649752
508,C-91032-4468-47,train,huggingface,C,C,2,P-1,triclinic,-154.07192555555557,-154.07192555555557,0.4850594444444311,-1,0.0,True,3.4160795635138768,0.19418720228181316
520,C-34611-1398-68,train,huggingface,C,C,227,Fd-3m,cubic,-154.544731875,-154.544731875,0.0122531250000008,-1,0.0,True,1.0069370537110833,1.9887758816891468
532,C-136214-3679-48,train,huggingface,C,C,229,Im-3m,cubic,-154.08037433333334,-154.08037433333334,0.4766106666666587,-1,0.0,True,-3.5864224999113183,1.3783973931446332
544,C-72732-3061-23,train,huggingface,C,C,12,C2/m,monoclinic,-154.31292066666666,-154.31292066666666,0.2440643333333412,-1,0.0,True,-2.8592558787463536,1.9031503726071906
552,C-79899-8009-46,train,huggingface,C,C,1,P1,triclinic,-154.15867111111112,-154.15867111111112,0.3983138888888788,-1,0.0,True,3.429295803424198,-1.0286588405551746
555,C-148230-2113-7,train,huggingface,C,C,12,C2/m,monoclinic,-154.13175875,-154.13175875,0.4252262500000086,-1,0.0,True,2.0858939859717007,-3.0268228816786475
563,C-148275-4529-49,train,huggingface,C,C,44,Imm2,orthorhombic,-154.10498625,-154.10498625,0.4519987500000013,-1,0.0,True,-0.9760283202732742,-0.057257661555801025
630,C-53822-9555-23,train,huggingface,C,C,38,Amm2,orthorhombic,-154.1946507142857,-154.1946507142857,0.3623342857142972,-1,0.0,True,-0.5505643024028036,1.4454489535585577
641,C-150739-4923-53,train,huggingface,C,C,1,P1,triclinic,-154.07163111111112,-154.07163111111112,0.4853538888888806,-1,0.0,True,2.547656801178678,0.76810262892684
683,C-170378-1288-35,train,huggingface,C,C,12,C2/m,monoclinic,-154.285483,-154.285483,0.2715019999999981,-1,0.0,True,0.6771896550323511,-0.7519564849171315
687,C-170916-5949-4,train,huggingface,C,C,12,C2/m,monoclinic,-154.09219125,-154.09219125,0.4647937499999841,-1,0.0,True,-0.0936382800463957,-0.7314736942636494
690,C-90858-8157-40,train,huggingface,C,C,2,P-1,triclinic,-154.0854775,-154.0854775,0.4715075000000013,-1,0.0,True,-0.5320127367216175,-0.867915005709328
731,C-177266-9827-39,train,huggingface,C,C,2,P-1,triclinic,-154.07299375,-154.07299375,0.4839912500000025,-1,0.0,True,3.306251484749484,-1.466068436517932
739,C-47631-7826-30,train,huggingface,C,C,65,Cmmm,orthorhombic,-154.17059666666668,-154.17059666666668,0.3863883333333149,-1,0.0,True,2.7846764682246365,-0.043634508411087285
755,C-170888-2365-14,train,huggingface,C,C,12,C2/m,monoclinic,-154.23361125,-154.23361125,0.3233737500000018,-1,0.0,True,0.36719424178425786,1.020608899857321
770,C-13893-8599-14,train,huggingface,C,C,12,C2/m,monoclinic,-154.09751071428573,-154.09751071428573,0.4594742857142648,-1,0.0,True,4.048517447259515,-1.4810739095569228
808,C-50227-3962-68,train,huggingface,C,C,1,P1,triclinic,-154.184534,-154.184534,0.3724509999999839,-1,0.0,True,2.5856825406612187,2.3840106602831392
829,C-13638-5850-50,train,huggingface,C,C,64,Cmce,orthorhombic,-154.32121625,-154.32121625,0.2357687500000054,-1,0.0,True,-2.821010959133701,1.8905390065103445
855,C-72748-2386-16,train,huggingface,C,C,2,P-1,triclinic,-154.099157,-154.099157,0.4578280000000063,-1,0.0,True,2.0477405357131606,-5.159001980923554
862,C-150741-903-54,train,huggingface,C,C,1,P1,triclinic,-154.1062809090909,-154.1062809090909,0.4507040909090847,-1,0.0,True,4.698684081754472,-0.4756984295125581
880,C-57186-353-26,train,huggingface,C,C,12,C2/m,monoclinic,-154.18910277777778,-154.18910277777778,0.3678822222222209,-1,0.0,True,5.480765580124761,-0.6161669920400502
895,C-41292-3626-41,train,huggingface,C,C,2,P-1,triclinic,-154.186981,-154.186981,0.3700039999999944,-1,0.0,True,-1.9012086056559891,-3.570138786654308
900,C-130226-8288-23,train,huggingface,C,C,6,Pm,monoclinic,-154.36567181818182,-154.36567181818182,0.1913131818181739,-1,0.0,True,5.288902919451318,2.682088805347508
901,C-130250-9835-41,train,huggingface,C,C,1,P1,triclinic,-154.0886761111111,-154.0886761111111,0.4683088888888846,-1,0.0,True,4.07486915304398,-1.4351501820209904
907,C-142753-3906-21,train,huggingface,C,C,2,P-1,triclinic,-154.10819333333333,-154.10819333333333,0.4487916666666649,-1,0.0,True,2.104504010085287,3.7880333100216665
961,C-57113-4466-66,train,huggingface,C,C,12,C2/m,monoclinic,-154.280253125,-154.280253125,0.2767318749999958,-1,0.0,True,5.276233650144466,-2.4988147569295522
