row_index,material_id,split,source_file,formula,elements,space_group_number,space_group_symbol,crystal_system,energy,energy_per_atom,relative_energy,hdbscan_cluster,hdbscan_probability,hdbscan_is_noise,pca1,pca2
0,C-130499-1826-36,train,huggingface,C,C,12,C2/m,monoclinic,-154.3118905,-154.3118905,0.2450944999999933,1,0.9445924974430884,False,-1.526489254181805,2.2127021921094276
1,C-13904-4247-31,train,huggingface,C,C,12,C2/m,monoclinic,-154.332183,-154.332183,0.224802000000011,1,1.0,False,0.16419579508926618,2.0806677214097906
2,C-92138-4782-35,train,huggingface,C,C,8,Cm,monoclinic,-154.178157,-154.178157,0.3788279999999986,2,0.8902761559571596,False,0.7991852992226608,0.7665592608465199
3,C-192672-505-73,train,huggingface,C,C,1,P1,triclinic,-154.309339,-154.309339,0.2476460000000031,-1,0.0,True,3.5776571944151336,1.7010843704304037
4,C-193956-5355-22,train,huggingface,C,C,12,C2/m,monoclinic,-154.14183549999998,-154.14183549999998,0.4151495000000125,0,0.6627673257900812,False,-2.575856301587167,-2.944765998916604
5,C-176661-8591-28,train,huggingface,C,C,12,C2/m,monoclinic,-154.19794285714286,-154.19794285714286,0.3590421428571346,-1,0.0,True,1.8061158751779434,-0.3704123855972935
6,C-177252-751-44,train,huggingface,C,C,12,C2/m,monoclinic,-154.45401,-154.45401,0.1029749999999865,0,0.662282986381444,False,1.0790244784849523,-3.2621378840199307
7,C-170900-9651-22,train,huggingface,C,C,2,P-1,triclinic,-154.24175416666665,-154.24175416666665,0.3152308333333451,2,1.0,False,2.284850645758944,0.513959685664568
8,C-130544-211-29,train,huggingface,C,C,71,Immm,orthorhombic,-154.230684,-154.230684,0.3263010000000008,2,1.0,False,0.07833770674118738,0.5035929771696644
9,C-136247-3248-26,train,huggingface,C,C,63,Cmcm,orthorhombic,-154.31424083333334,-154.31424083333334,0.2427441666666538,2,0.8712812650085769,False,-0.042351616416641924,-1.0300991290087445
10,C-76016-983-23,train,huggingface,C,C,15,C2/c,monoclinic,-154.0695325,-154.0695325,0.4874524999999892,1,1.0,False,-1.0931230837779626,2.603402547015075
11,C-170888-2365-32,train,huggingface,C,C,1,P1,triclinic,-154.112675,-154.112675,0.4443100000000015,-1,0.0,True,1.7116075720005064,0.6608725137019855
12,C-141037-8469-46,train,huggingface,C,C,12,C2/m,monoclinic,-154.30918283333332,-154.30918283333332,0.2478021666666734,1,1.0,False,-1.9239627011566776,2.202315176561397
