feature,importance
std_bond_length,0.627191447002597
min_bond_length,0.07680462563268374
space_group_number,0.061349868205496726
volume_per_atom,0.058364749996826386
density,0.05567200164593782
mean_bond_length,0.03573485446526283
a,0.02461463937255029
volume,0.01496369086296213
max_bond_length,0.013922175528786385
b,0.006088513683790819
mean_coordination,0.0049290107568621955
b_over_a,0.003614220777848917
c,0.0028288306494716484
c_over_a,0.00251191286720921
angle_deviation,0.002494999212006826
gamma,0.0020782112445258574
std_coordination,0.0019005111508218658
alpha,0.0014189395848716174
num_atoms,0.001398031838199072
beta,0.001384055573394723
min_coordination,0.0005235831768715673
max_coordination,0.00021112677102246144
