feature,importance
std_bond_length,0.4898244
space_group_number,0.13764548
density,0.07892347
volume_per_atom,0.065615
min_bond_length,0.054362215
max_bond_length,0.03815802
mean_bond_length,0.028805913
mean_coordination,0.021936132
a,0.020389924
volume,0.013389237
std_coordination,0.009890402
b,0.0080306
b_over_a,0.0076357382
min_coordination,0.0046984665
c_over_a,0.0044501233
num_atoms,0.004002849
angle_deviation,0.0032763162
c,0.0030020857
gamma,0.0021959827
alpha,0.002101589
beta,0.0016660504
max_coordination,0.0
